,0
3,-6.2418694e-05
4,-1.81879e-07
5,3.307932e-05
6,2.5061414e-05
7,-4.246284e-05
8,-0.00011604684
9,-9.72276e-05
10,-7.496771e-05
11,-8.789089e-05
12,-7.0932e-05
13,-6.469626e-05
14,-6.033747e-05
15,-4.1268348e-05
16,-3.2215365e-05
17,-4.8721355e-05
18,-6.420065e-05
19,-7.574657e-05
20,-6.831675e-05
21,-6.144651e-05
22,-6.379029e-05
23,-5.9028727e-05
24,-5.2460495e-05
25,-5.1653966e-05
26,-1.1429169e-05
27,8.4004905e-06
28,-1.7585247e-05
29,-1.4123488e-05
30,-8.357618e-06
31,-3.5946927e-05
32,-3.364878e-05
33,-2.989387e-05
34,-1.6269474e-05
