,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12296888,7.820001
1,2,0.0,0.0,0.0,0.0,0.001450357,5.2174354,28.03552,51.70579,68.91351,74.55029,66.96595,44.215866,19.213305,1.751232,0.0
2,3,24.016396,59.510582,88.446175,106.25611,108.07314,94.94405,67.51374,30.890491,3.3688123,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075200856,9.3763685,32.78368,65.04833,93.327324,96.21933,93.337166
5,6,0.0,0.7726844,11.0336895,29.275766,55.226017,69.05787,77.67683,87.35012,71.55189,52.925854,27.103245,5.4000816,0.0,0.0,0.0
6,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7950096,29.40033,62.0314,86.247826,92.87812,85.97534
7,8,0.0,0.0,0.0,0.047018904,7.914962,22.195993,31.50841,40.97743,41.778427,28.5275,12.499186,0.6134291,0.0,0.0,0.0
10,11,0.0,0.0,0.0,0.0,0.0,14.971132,0.0,0.43257922,8.904154,17.626104,26.273182,31.498663,32.456257,29.319973,20.960943
11,12,14.627978,8.556456,1.233836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.98252815,5.774567,10.028094,9.262598,4.6150312,0.3317381,0.0,0.0,0.0
15,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43491116,7.5073576,15.708327
18,19,20.441875,36.686394,45.16366,44.129463,31.555984,14.377536,0.8532678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,21,0.0,0.0,0.0,0.0,1.1709188,13.343912,25.777723,33.44844,36.562027,33.12538,25.207142,12.812174,0.7619016,0.0,0.0
25,26,42.427074,54.311584,15.627014,0.0,0.0,0.0,0.0,2.8897758,17.68985,34.714382,49.59376,56.187828,53.27603,44.660793,28.069494
