,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,2,-137.87907,-131.74576,-131.17854,-127.55792,-127.15504,-126.73096,-119.20346,-113.60024,-116.351494,-115.36019,-116.62184,-116.16065,-118.53022,-114.347694,-112.56123
2,3,-133.034,-131.84415,-132.64767,-131.2518,-130.64398,-131.0303,-122.03688,-118.62185,-115.70645,-128.21277,-130.78305,-129.2172,-129.52625,-128.83087,-118.39521
4,5,-164.15042,-172.17033,-163.70744,-165.10849,-166.55074,-161.17322,-162.16733,-159.54553,-158.48962,-158.36084,-159.46313,-159.75673,-155.45575,-154.38437,-155.33728
5,6,-153.17906,-154.13197,-158.18056,-157.37701,-155.90387,-149.78464,-154.0341,-157.70668,-154.2968,-158.07239,-148.66174,-151.53079,-159.55585,-170.36238,-167.09673
6,7,-130.83456,-129.56744,-129.11932,-129.04207,-130.29889,-129.40778,-130.46371,-131.28784,-128.13551,-126.5851,-125.87943,-122.35623,-121.22304,-122.325325,-124.256905
7,8,-131.92377,-135.48184,-140.67532,-143.83008,-142.66983,-141.34384,-143.98477,-141.49854,-139.08414,-139.1449,-143.93506,-149.38266,-146.80803,-145.86879,-144.74722
8,9,-142.57248,-143.45723,-143.1077,-141.9881,-141.79149,-140.56267,-141.8461,-143.45723,-140.97774,-143.17323,-142.75816,-140.61182,-139.37753,-138.71124,-136.20444
9,10,-125.11227,-123.94825,-120.74757,-117.11622,-118.33907,-117.97221,-116.414406,-118.365654,-124.21409,-127.63277,-129.93492,-133.36954,-138.16525,-139.05847,-138.19185
10,11,-122.215836,-120.06541,-118.5361,-117.69576,-117.716644,-113.48886,-152.22264,-160.47464,-157.71353,-158.91924,-162.77643,-166.93114,-164.71286,-165.16696,-167.4009
15,16,-152.9194,-145.16138,-141.77362,-134.53104,-125.23751,-122.34906,-120.88336,-117.14662,-118.43516,-117.83921,-116.046005,-117.53319,-119.26196,-119.76663,-121.53836
16,17,-128.83466,-131.84122,-125.307304,-126.08042,-121.53836,-121.41488,-122.5316,-123.80402,-122.48865,-120.71693,-120.110245,-119.78274,-120.85114,-120.82967,-116.50773
18,19,-134.50052,-130.65182,-133.0026,-135.93285,-136.85675,-137.26675,-137.14102,-135.29868,-138.47495,-133.80075,-135.57202,-132.01308,-132.08961,-133.347,-135.99844
19,20,-128.6406,-129.59421,-127.36033,-130.76382,-128.31393,-129.0726,-127.265495,-124.283485,-124.1465,-124.19392,-127.45516,-127.48677,-130.48985,-129.52571,-127.32871
20,21,-142.81302,-140.53174,-144.11436,-140.53702,-142.23349,-136.50656,-136.55397,-138.91956,-138.25046,-144.0406,-136.74365,-137.00708,-137.08084,-133.77217,-130.32126
21,22,-127.446175,-126.9913,-125.310974,-124.35843,-125.08622,-126.92174,-126.89498,-135.46252,-134.9809,-137.38367,-133.41295,-138.04724,-138.69475,-138.64658,-137.28734
26,27,-151.2391,-147.32712,-144.31955,-144.06268,-143.1101,-143.21713,-143.84326,-142.35555,-142.76227,-146.32639,-149.24832,-150.73605,-150.17415,-160.32068,-167.37936
27,28,-142.00177,-140.28998,-142.86029,-145.15315,-146.05878,-150.21002,-147.05864,-144.15854,-149.32532,-155.10461,-152.25162,-155.15172,-151.91658,-153.4504,-151.55014
28,29,-130.1542,-128.62323,-127.44915,-125.432,-124.52687,-124.25792,-124.25275,-125.27166,-128.26118,-123.55967,-121.96147,-122.07008,-124.319984,-124.61997,-123.875175
29,30,-126.957794,-127.82672,-127.081924,-128.34912,-126.68884,-128.89218,-126.50781,-124.73376,-121.30978,-120.20293,-123.13038,-120.787384,-118.97195,-115.139366,-116.597916
31,32,-130.02365,-124.78463,-126.41283,-120.94673,-123.355804,-123.283806,-123.18412,-123.04013,-125.20552,-127.465065,-125.18337,-127.09955,-123.09551,-123.1675,-122.35895
33,34,-132.60818,-133.45047,-140.30832,-139.55841,-140.24855,-138.23793,-136.8794,-135.02637,-138.0423,-143.64487,-145.96524,-148.2041,-147.58461,-147.49767,-145.78049
35,36,-146.02063,-151.59293,-152.25555,-153.62775,-155.6678,-150.58073,-147.72154,-142.62405,-143.65189,-141.1214,-142.23273,-140.38574,-137.61525,-134.98563,-137.98569
