,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1,111.653145,110.39528,104.54555,112.394394,107.2827,85.69037,84.37474,79.11545,79.43954,84.403625,92.133736,95.942635,104.263176,104.815094,101.975266
1,2,105.63335,102.80957,104.94345,105.38948,105.424774,108.049614,104.43645,107.50732,106.09543,104.500626,105.392685,106.416306,104.7798,106.5928,103.78826
2,3,107.94475,108.137726,106.05475,106.04862,107.047226,108.59415,106.33963,105.33183,106.41315,108.376656,105.665726,105.07759,103.93807,106.49892,106.93388
4,5,104.39755,103.028305,103.42652,104.11574,106.486664,104.37305,104.56909,105.21543,104.238266,103.95339,104.67937,107.58022,105.46049,108.0397,106.03024
5,6,102.501434,102.397285,103.708336,102.30539,103.99321,106.40395,105.88014,106.02106,106.2753,106.4836,104.52315,105.448235,103.53067,103.77266,103.04056
6,7,103.472466,103.03749,106.95533,104.48332,104.43125,106.44684,105.43598,104.40368,105.837265,104.902985,105.978165,106.24161,105.67491,105.328766,108.293945
7,8,105.63501,102.23136,102.624435,102.17181,104.06868,109.25307,110.07494,109.32453,106.602806,106.34076,105.85835,105.99831,107.231125,104.1729,104.31584
10,11,104.6389,106.65419,103.62238,105.34514,106.210945,107.20677,105.758835,103.01662,100.50488,101.53322,101.77257,102.30742,101.205215,101.38842,101.21408
11,12,103.39836,106.468605,106.629234,105.2987,106.886856,107.165695,106.60196,104.73799,104.86529,104.31671,103.95907,106.56256,108.068886,107.565765,110.663284
12,13,104.21669,105.68059,103.340775,100.98582,101.08887,102.49518,102.59216,103.246826,104.30762,103.634766,102.65581,101.31315,102.446686,101.86779,101.31012
15,16,102.22131,102.96951,102.92183,102.58441,103.42063,103.56367,103.00619,103.38762,103.94144,104.82533,104.98304,106.78385,106.343735,110.12507,104.53926
18,19,104.07894,103.30998,103.979904,104.492546,103.29833,105.17412,103.98282,104.09642,105.471214,102.34588,102.01965,104.11972,105.38092,104.41099,103.25173
20,21,103.0687,102.15982,102.1862,102.37385,102.74326,104.13591,104.66072,102.03375,102.708084,105.411285,104.14178,105.42888,102.24191,103.36189,110.60072
25,26,101.506714,101.14636,102.78829,106.20294,105.63044,104.5581,106.23781,107.26366,106.851,108.211044,105.947205,103.38404,103.157364,103.92166,105.057945
26,27,101.91647,102.14605,102.05596,102.89873,102.18674,101.09405,101.39337,101.72467,101.52415,101.564835,101.7857,100.687195,102.89582,102.56453,101.056274
28,29,104.19927,106.317894,102.9148,103.52833,103.67037,105.57743,106.36625,102.83018,102.21364,102.4796,103.9998,104.35341,102.11994,102.47657,104.027
30,31,102.359344,104.040115,108.49027,104.87452,105.0749,105.23639,106.35791,105.03602,106.28015,109.14224,108.21214,109.17514,104.898445,108.00877,105.74481
31,32,111.09515,109.4944,108.07268,109.76821,109.104744,109.838425,109.831406,108.43074,107.42325,105.96291,105.64698,105.91728,104.14101,103.0949,104.29546
32,33,106.233215,106.33151,105.59081,104.62895,104.8782,104.049736,105.439865,107.87259,108.20608,106.886154,103.47754,103.961975,103.231804,104.144516,103.48105
33,34,108.16856,105.31136,104.93996,104.93118,108.28846,107.071884,104.13281,103.12387,114.47661,105.35523,105.30551,104.270256,105.1125,103.603485,102.99227
37,38,105.07037,103.165184,103.86615,105.48676,103.65047,104.74086,104.54016,105.99602,106.72095,108.75195,108.83883,112.78102,108.82385,117.058716,110.83688
38,39,103.653625,105.28684,110.07892,106.21592,105.43354,106.867905,102.65609,101.44666,105.6487,102.10516,101.21521,101.37495,101.622696,103.588425,104.266495
42,43,104.22221,105.34567,111.576065,107.7598,102.83182,103.78221,103.09581,104.973145,106.68327,104.43634,104.53314,104.527275,105.79741,103.88488,103.248344
43,44,105.225365,104.34194,105.83823,105.3525,105.65567,105.48942,106.656456,105.64589,106.4413,107.55292,107.083496,106.19029,107.44534,104.40388,109.212204
44,45,103.61829,105.77728,104.60859,103.69839,104.72145,107.76515,104.91805,105.93748,105.12558,104.25179,104.02242,105.54791,106.70204,106.862236,104.61587
45,46,106.892876,104.91397,106.004074,104.95423,108.0604,108.61165,105.319664,107.769295,106.319954,109.673874,105.95762,107.08179,109.47258,106.8681,107.53084
46,47,105.132866,107.326546,107.55396,107.50148,107.90733,110.18148,107.365036,107.1761,104.91945,104.71652,105.38477,104.793495,107.07464,119.739914,115.32456
47,48,104.46112,109.29631,105.20634,103.92582,107.37203,103.38702,104.00279,102.07151,102.98817,102.50535,106.36091,100.64404,103.12112,105.09088,104.54509
48,49,103.775955,105.17775,105.624115,104.47685,105.43967,108.697,109.86271,108.22851,107.20298,102.62501,102.68771,103.81653,103.51035,106.75293,106.1959
49,50,104.91584,104.85313,106.9964,104.35512,105.222015,101.94255,103.63577,102.67665,104.17067,107.06649,104.048935,106.86729,107.55712,110.25742,107.72312
50,51,104.56781,106.08923,105.572655,102.643036,102.80579,102.62534,102.39182,101.69834,101.52496,101.38344,101.58865,102.25383,101.878784,104.20338,102.2503
52,53,109.5009,104.57947,105.13339,104.15946,105.74515,102.95421,103.08508,107.30041,109.050446,108.19217,106.15603,107.97912,107.33693,106.77083,107.31563
