,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,12.0758505,12.134183,12.161335,11.970081,12.149374,12.172725,12.57081,12.620381,12.586025,12.500151,12.193483,12.073276,11.76564,11.785413,11.616243,11.241347,10.976405,10.956569,10.703142,10.619647,10.77996,11.071254,11.115273,11.146807,11.035915,10.96127,10.769792,10.336596,7.7791567,7.3383613,7.0108113,10.020306,9.925973,9.945581,10.22585,9.851492
1,2,7.331785,8.2632,8.480267,10.460215,9.9730425,8.376632,7.160835,6.776655,6.731945,6.7794824,7.388932,8.4605,9.305881,9.725972,9.812151,12.065886,11.750705,11.752112,11.7874,11.396137,11.299698,10.822139,10.535879,10.247092,9.713422,8.920655,8.131522,8.328215,7.7833595,7.251463,6.6345553,6.2427473,5.6676154,5.301557,5.0888395,4.7299266
2,3,5.0894694,4.871988,4.6989226,3.99167,4.0761285,4.336789,4.418049,4.184924,4.5245285,4.5345216,4.505405,5.1152816,4.902192,4.176362,3.6141708,3.210534,3.1279278,3.1000898,3.119168,3.2276402,3.249337,3.2850306,3.306818,3.7739506,4.111556,4.458182,4.3580327,4.09585,3.7815776,3.7298763,3.7996514,4.0319424,4.061396,4.1088567,4.247068,4.0480795
3,4,11.44889,11.88879,12.248737,12.119651,11.87919,10.990823,10.533463,10.435129,10.813104,10.680964,10.714665,10.931969,11.157321,11.033729,10.502948,10.5666685,9.775907,9.547422,9.320744,8.8793545,7.887717,7.1703935,6.429664,6.5667634,6.954255,6.714397,6.2341194,5.1407127,4.975178,4.744898,4.850433,4.92476,5.7049065,6.8201594,7.4418554,7.699802
4,5,6.668396,6.138746,6.056187,5.429591,5.3499126,5.4645176,5.437921,5.644989,6.0740848,6.6024146,7.1980653,8.044307,8.781685,9.19872,8.775913,8.226142,7.6502943,6.7406974,6.100628,5.6843896,5.6176786,5.644324,6.179241,6.0013313,5.611042,7.140722,7.4331083,8.217532,9.318563,9.326369,10.12605,8.656919,7.519551,6.82827,6.3718243,6.102443
5,6,4.9655876,4.47349,4.398875,4.397508,4.454008,5.074611,5.098004,3.8834717,3.5848923,3.7313948,4.460198,4.388323,4.387353,4.5175138,4.7023296,3.7024236,3.0794013,2.2647078,1.8995737,2.816669,3.0436792,3.3710353,3.7560022,4.263548,4.7130966,4.6512704,4.920732,5.2933235,5.4957685,5.4500103,5.526185,5.328057,9.192396,7.7316566,6.6988664,5.9106927
6,7,6.0008245,6.059769,6.110682,6.124338,5.968652,5.851102,5.725045,7.812312,7.847227,7.454729,7.2640266,6.970052,6.962804,6.4854426,6.1905293,5.659928,5.520312,5.5058537,5.6137233,5.50941,5.9989185,6.270769,6.340836,6.184926,6.1033483,6.045651,6.002082,6.0159383,6.015264,5.9156623,6.291006,6.428112,7.3824544,7.408982,7.467945,7.8733907
7,8,6.257685,6.188863,6.6137123,6.0256104,5.6434765,5.1483083,5.0458555,4.6298957,4.111132,3.7608624,3.8818328,3.557325,3.6423538,4.2430463,4.7700033,5.3702364,5.6967506,5.536551,5.7107162,5.561883,6.2649603,5.9716454,6.208958,6.4311047,6.555138,6.9226613,6.0655704,5.5983205,5.4186277,5.452688,5.5770845,5.585993,5.398498,4.32088,4.462423,5.3261914
9,10,7.9642286,7.48812,7.491734,7.541486,7.7950234,7.7651587,7.657979,7.1529255,7.0236096,6.9760013,6.6436596,6.4854956,6.899561,6.526465,6.384731,6.115837,6.19616,6.084899,5.8523216,6.567675,7.148101,7.793333,8.110652,8.169262,8.63982,8.300091,8.310415,8.218102,8.212813,7.9647193,7.7368603,7.149248,6.908131,6.4750357,6.3459945,6.237951
10,11,7.354396,6.187893,7.201983,7.7073765,7.9507375,9.271894,8.724446,8.194125,7.3353696,7.0380893,6.3840284,5.752069,5.221208,4.933045,5.011758,5.1525035,5.582146,8.026238,10.991199,10.902521,10.738031,10.703861,11.31684,11.586662,11.578126,11.105208,10.9388075,8.142865,8.011629,8.035534,6.2128463,5.887551,5.626961,5.570747,5.4106317,5.481472
