,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,7.124977,6.9356537,6.5538025,6.309929,6.2457504,5.6168213,5.225342,5.129074,4.766472,4.821022,5.8478546,6.44149,6.797676,6.720665,7.330345,7.571007,7.0961,6.5794754,6.114189,6.0275497,6.4767914,6.9645386,7.070427,6.367691,5.427498,6.0211334,6.4992523,6.2008286,5.552643,5.0681076,4.647751,3.9738922,3.91613,4.2626877,4.2819366,4.1824646
1,2,7.044754,6.8393936,6.5217133,6.3612747,6.4318695,6.592308,6.7784195,6.877899,6.9324493,7.2372894,7.0287094,7.0319214,6.6308136,6.1238174,5.584732,5.02639,4.9333344,4.98468,4.577156,4.461632,4.301193,4.121498,3.964264,3.8776245,3.816658,3.967476,4.0252304,3.842331,3.7268066,3.3706284,2.7384872,3.2198105,3.9482193,3.8230743,4.0701523,4.869156
2,3,3.7743912,3.7897034,3.7958298,3.814209,3.7039337,3.4803238,3.4313126,3.360855,3.3486023,3.118866,2.8187027,2.9181824,3.2294388,3.0914612,3.078621,2.7641525,2.4400635,2.2443237,2.1544724,2.3309631,2.2892456,2.3020782,2.144844,2.022911,1.8560486,1.7982941,1.8014984,1.7918777,1.8271713,1.823967,1.823967,1.9009781,1.923439,1.8624725,1.920227,1.9298553
4,5,1.0328217,1.1063385,1.1430969,1.1492233,1.1185913,1.0971527,1.1308441,1.0910263,0.9623718,0.9072342,0.919487,0.84597015,0.7847061,0.7571335,0.7816391,0.73262787,0.86740875,0.99606323,0.9011078,0.7540741,0.7418213,0.65605164,0.6376724,0.6468582,0.6652374,0.69893646,0.7938919,0.7877655,0.80921173,0.9409256,1.0450745,1.1921082,1.1706696,1.23806,1.3391418,1.2441864
5,6,0.7387543,0.71424866,0.7295685,0.7479477,0.72650146,0.6407318,0.5917206,0.47225952,0.4508133,0.4753189,0.4814453,0.52739716,0.6070404,0.7173157,0.7877655,0.83984375,0.83984375,0.87353516,0.85515594,0.919487,0.8827286,0.7571335,0.70812225,0.72650146,0.7632599,0.72037506,0.7510071,0.86740875,0.86434937,0.8245239,0.7816391,0.7877655,0.7877655,0.7632599,0.7785797,0.82759094
6,7,2.1386414,2.224411,2.190712,2.1539536,2.1447678,2.1141357,1.8782654,1.7281723,1.676094,1.6515884,1.7526779,1.9885406,2.0436783,2.0314255,2.386757,2.359192,2.2090912,2.2182846,2.386757,2.2979279,2.163147,1.9854813,1.9150238,1.9088974,1.9548492,1.93647,2.0896301,2.4020767,2.739029,2.5858688,2.2458496,1.9793549,1.7005997,1.61483,1.6362762,1.5719452
7,8,0.6608505,0.6519165,0.64595795,0.66680145,0.6846695,0.71147156,0.7204056,0.7710266,0.8067627,0.77698517,0.73231506,0.75315857,0.80080414,0.9377823,1.047966,1.1045456,1.2564087,1.4499741,1.5303726,1.473793,1.482727,1.6494827,1.7537079,1.7030869,1.7775345,1.7447739,1.872818,2.105095,2.4534988,2.8019028,2.8465652,2.7423477,2.7661667,2.8435898,3.1651993,3.355774
10,11,2.8014755,2.4527817,2.5177917,2.5473404,2.2252502,2.2991257,2.3139038,2.2134323,2.2784424,2.358223,2.2843475,2.172058,2.1897888,2.1868362,2.2666245,2.3434525,2.307991,2.2518463,2.2282028,2.2134323,2.231163,2.3789139,2.3257217,2.384819,2.4350586,2.6684952,2.6419067,2.5473404,2.6714554,2.6419067,2.7364655,2.9078522,2.9078522,2.8753433,3.0260544,3.0644684
11,12,2.2805634,2.3078384,2.2745056,2.3351212,2.2987518,2.3169327,2.3351212,2.326027,2.3745193,2.3623962,2.3563385,2.3290558,2.244194,2.2108536,2.2623825,2.1563034,2.2623825,2.4684753,2.4381714,2.529091,2.6654816,2.9079437,2.7897415,2.607895,2.6412354,2.701851,2.63517,2.6745758,2.7715607,2.8170242,2.9655304,2.992813,3.1716309,3.304985,3.5383606,3.7050552
12,13,1.3925323,1.6562119,1.789566,1.7986603,1.8653412,1.9532318,1.9896011,2.1108398,2.0168839,1.9471741,1.883522,1.7562332,1.7380447,1.8198776,1.9108047,1.9592972,2.071434,2.1199265,2.2957153,2.3805847,2.529091,2.8170242,3.1443558,3.465622,3.589882,3.6110992,3.7414246,3.653534,3.5353317,3.5232086,3.3807602,3.3383255,3.5474548,3.9050903,4.0626984,4.0475388
