,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,56.63427,57.32096,53.053192,51.182438,52.802902,50.42836,51.371758,48.721252,48.11799,47.854862,44.405354,48.02814,46.317825,45.83329,39.807076,31.354977,31.669441,31.040508,31.589222,31.573177,30.620152,35.410957,39.203815,44.347595,50.165234,57.256783,56.342262,53.884285,54.59986,59.698715,63.94081,67.66949,66.46938,67.297264,71.63883,69.431145
1,2,64.6981,63.61351,64.46385,61.66574,57.48461,56.890976,55.93153,59.798187,58.61413,59.313652,58.655838,58.338165,59.002396,56.332634,58.456894,61.84864,67.66949,66.05223,61.20687,62.570633,65.59016,66.35387,64.836075,65.95276,70.737144,74.331055,68.90489,64.935555,63.21561,61.5791,61.559845,63.475525,64.16864,62.792046,64.00499,62.894726
2,3,49.31197,48.003983,50.745552,47.137096,43.26827,42.824104,44.10146,44.953033,44.545628,47.94578,49.80905,52.238148,48.547974,50.206947,51.012367,54.22763,44.97011,42.46721,47.44092,48.304104,49.760918,51.9301,56.637474,61.948116,69.38301,74.19308,73.14699,72.32552,71.65809,72.752304,72.31269,70.08254,68.64498,67.50905,66.63303,62.724655
4,5,60.7806,61.88948,61.307472,63.010616,61.485138,60.452843,64.520775,62.443924,57.083317,52.09642,45.46459,46.282463,49.900105,51.68289,55.8611,58.930428,63.58956,67.48902,69.71903,69.271805,69.4464,66.328064,61.51271,59.31333,77.98355,49.477383,48.769783,46.110924,48.02236,52.64167,50.11453,60.553925,65.97886,68.45699,65.25594,66.4996
5,6,56.42779,57.233414,57.32531,60.64582,64.29103,65.16405,63.954082,62.952415,64.64943,69.53524,66.74466,66.72322,62.388786,63.142334,61.99363,63.18522,64.076614,61.877228,60.912323,60.20166,64.22058,63.623257,60.379326,59.739113,62.75943,62.658348,66.153465,69.869125,71.55389,69.29324,71.844894,65.95435,63.430275,61.08999,64.83935,64.22977
6,7,57.423332,56.718796,56.700417,56.1858,56.783123,56.467613,57.215034,59.852455,65.16098,70.88305,72.96297,74.261765,71.86327,70.22752,72.57088,74.5834,72.96297,70.9535,73.06711,72.68727,73.005844,72.85881,72.39934,71.01476,72.51267,61.917053,58.412746,59.971916,59.291885,59.056023,59.509377,59.64109,59.941284,60.71321,61.41162,58.850784
7,8,43.669525,44.979767,45.0691,45.9952,43.21987,42.13297,46.66819,48.133278,47.948654,47.028507,46.406143,44.354424,41.924522,46.751568,49.586456,65.57438,63.74302,67.465294,66.9412,63.445236,58.30254,51.513107,56.19722,60.541862,61.52752,63.242744,66.97395,70.63072,73.671074,75.36248,75.806175,74.24282,78.32243,69.11203,70.18107,76.5953
10,11,57.73452,54.16491,53.491173,48.56227,62.950058,60.893394,60.17829,58.28415,58.46145,58.33143,53.302055,48.068787,44.20072,46.23079,57.32969,63.479,59.53706,58.77172,65.24903,65.594765,68.81569,60.970222,56.939632,56.59981,55.473965,55.075043,54.880013,53.609375,56.42547,56.333862,55.44737,56.09451,56.440243,56.71801,58.06548,58.733307
11,12,46.7096,43.954567,42.26336,47.69159,56.82956,56.268856,57.50544,62.063816,60.121048,66.043304,71.04115,73.46279,73.699196,72.2838,69.78033,71.10177,70.80778,72.98089,73.58099,73.39611,70.78353,69.73486,69.21659,69.39238,67.42537,66.740395,66.19182,66.38882,68.98019,72.45049,74.33264,76.39058,74.587234,74.68422,75.57226,76.081436
12,13,64.25511,53.668396,53.507767,52.637917,54.956505,54.54734,55.674812,58.557137,64.22783,64.733986,63.397385,62.645737,68.41948,68.53465,66.60401,66.99499,62.239605,60.199852,64.46727,65.085556,57.902477,58.911747,58.78445,70.795654,71.84129,71.31393,68.17398,67.51629,67.5466,65.47957,61.439465,60.642353,62.024414,60.696907,67.625404,67.27383
15,16,63.72947,63.685463,63.076633,64.448326,64.84444,60.48728,60.865047,58.228016,57.732887,53.46009,53.08966,51.079796,50.492973,48.431763,48.549126,47.980644,47.478176,48.053997,48.952568,48.211704,48.53079,48.80953,51.872005,46.85101,47.742245,47.19577,47.61021,48.120014,47.617546,48.549126,49.25331,53.346394,49.961166,55.642334,55.202217,51.094467
18,19,54.778366,58.943546,59.421234,62.849495,65.8292,68.602104,71.567245,66.67389,66.41466,63.807777,60.47272,67.11953,74.261505,78.14706,65.04568,56.989117,51.14039,52.331688,55.34926,65.40977,64.88257,65.57579,71.19733,70.8012,74.36345,76.39069,83.33752,77.037315,72.44979,77.09848,77.817924,72.64494,73.42555,74.9256,76.10233,76.77517
20,21,51.250526,39.100784,38.218285,38.67566,40.425995,39.40863,40.38202,42.123558,44.21986,45.720985,48.500412,51.693237,52.018677,53.94786,54.15896,53.270596,42.660095,47.670692,44.598072,45.149265,41.78346,42.96501,43.4605,38.81932,38.46163,39.197536,36.796318,36.81684,41.33488,41.771732,50.203842,47.195724,52.047997,52.027473,53.754356,59.254578
25,26,44.663776,51.138523,51.649994,57.834133,60.635597,60.51354,64.855225,67.22949,71.414246,73.3526,79.54546,81.60006,80.9026,82.70437,82.52419,82.39342,82.87583,82.61719,82.89036,83.7244,83.46286,82.15512,81.71921,83.15772,82.18709,83.73022,82.43992,81.4751,81.50997,81.64075,78.48765,77.76694,78.79569,79.82445,81.46347,83.34371
26,27,69.41777,68.18559,67.75549,67.31086,66.90401,68.25825,68.330894,68.00832,68.21175,65.2766,65.46841,59.914886,59.94104,58.485096,56.42759,55.88125,56.91,57.744045,57.514465,56.93906,59.27555,63.09414,64.92788,64.404785,62.553608,63.445774,67.02606,66.84299,66.93017,67.84558,69.72,71.02193,73.8292,75.221214,75.026505,74.66906
28,29,73.0456,73.0184,61.440044,60.080017,63.70373,64.365616,63.114388,62.923985,60.22509,57.84655,57.432503,56.66484,62.41624,67.69919,65.26625,60.20091,61.14084,59.185425,55.32597,58.36034,60.01655,61.787605,67.523895,69.22242,67.817055,64.293076,62.06566,64.525795,67.693146,70.159325,72.3535,72.827995,74.807594,76.8295,62.28024,62.97234
30,31,56.52986,55.118248,55.261803,55.967606,58.019226,62.25406,65.25971,65.436165,64.06642,61.03385,60.310104,61.386757,61.901157,64.38942,58.820736,57.30744,57.17585,57.681282,57.406136,56.135086,55.45321,56.87379,55.54592,53.545143,49.624336,41.35804,40.520645,39.743065,40.76588,42.007023,42.273193,42.228333,47.025417,47.904682,50.312195,47.865803
31,32,48.399006,48.60261,47.24408,51.144157,47.03345,45.650345,46.808784,48.24104,46.306793,48.437622,50.58249,51.884857,52.40791,54.66511,40.812984,39.46849,47.86191,53.2469,47.746067,54.32811,49.00631,52.65715,52.42897,55.103912,53.32413,52.523754,55.124977,58.839005,60.871536,59.53758,60.24668,67.19732,62.991833,60.562622,61.050568,58.168514
32,33,61.615746,60.099243,62.117737,61.391083,63.662323,64.87693,68.44352,64.82427,63.911564,59.288338,60.411674,64.020386,67.070946,68.76297,71.49408,62.668877,61.240135,57.378666,56.160553,60.56964,66.26706,64.339836,66.0459,64.45568,65.88091,63.936134,62.735573,61.991364,65.67731,65.687836,65.90549,63.06906,63.85891,63.104164,64.15027,63.28671
33,34,60.634438,60.90056,62.65231,63.822094,63.520874,62.38911,61.14329,59.716156,58.65458,57.54621,56.999336,57.110466,58.204212,60.88594,62.465145,63.99171,65.20536,66.886925,68.647446,70.46353,72.27085,74.49928,75.97029,77.248276,77.18979,78.21042,82.78719,81.09101,78.70173,72.326416,68.138596,68.07425,71.07767,67.48059,60.844994,59.81559
37,38,63.794178,70.46236,71.90024,70.315575,68.61707,68.55117,64.815674,64.7318,62.419205,58.246353,57.88688,57.473488,59.160004,59.41463,63.23101,65.23805,62.655857,62.40123,70.129845,68.91963,65.342896,62.194534,56.005653,54.331116,66.0918,66.822716,64.21356,67.36791,65.342896,61.97885,63.908012,66.84369,74.21883,73.1464,66.06184,64.83664
38,39,66.52318,68.40089,67.755424,66.39278,69.91023,71.25658,72.37798,72.17587,69.382126,64.03586,66.83287,70.966446,69.629875,70.8719,72.83763,73.66565,74.653404,76.348564,76.24099,74.32416,73.74389,72.8083,64.651985,66.193924,62.066868,60.603165,67.47507,70.24274,74.05032,69.65595,67.73586,69.46036,69.71463,66.70247,67.6022,67.93146
