,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,-0.047060966,-0.0418334,-0.024989128,-0.019761562,-0.025569916,-0.02847433,-0.019761562,-0.012791634,-0.013953209,-0.013953209,-0.016276836,-0.02034235,-0.02847433,-0.031959534,-0.03544426,-0.026731968,-0.023246765,-0.023827553,-0.010468483,-0.016276836,-0.011049271,-0.012210846,-0.009306431,-0.0180192,-0.013953209,-0.0081448555,-0.00698328,-0.00698328,-0.027893543,-0.021504402,-0.014533997,-0.016276836,-0.020923615,-0.031959534,-0.034863472,-0.027893543
1,2,-0.11443806,-0.047060966,-0.036605835,-0.025569916,-0.013372421,-0.022665977,-0.030797482,-0.03544426,-0.025569916,-0.02034235,-0.0180192,-0.022665977,-0.015114784,-0.013372421,-0.015696049,-0.023827553,-0.025569916,-0.020923615,-0.02440834,-0.026731968,-0.023827553,-0.026731968,-0.017438412,-0.02208519,-0.033701897,-0.03544426,-0.03951025,-0.04415703,-0.037767887,-0.034282684,-0.022665977,-0.02034235,-0.019180775,-0.02847433,-0.033701897,-0.040671825
2,3,-0.019762993,-0.019762993,-0.014685154,-0.019198895,-0.020327091,-0.022019386,-0.016377926,-0.01863432,-0.014685154,-0.011864185,-0.020327091,-0.019762993,-0.016377926,-0.019198895,-0.017506123,-0.017506123,-0.01863432,-0.018070221,-0.017506123,-0.014685154,-0.026533127,-0.021455288,-0.029918194,-0.020327091,-0.022019386,-0.029918194,-0.024840355,-0.022019386,-0.023712158,-0.022583961,-0.02314806,-0.021455288,-0.027097225,-0.032739162,-0.03104639,-0.026533127
3,4,-0.019762993,-0.020327091,-0.022583961,-0.013556957,-0.016942024,-0.011864185,-0.012992859,-0.014685154,-0.015249252,-0.013556957,-0.012428284,-0.015813828,-0.011300087,-0.012992859,-0.016377926,-0.01017189,-0.011300087,-0.009607792,-0.012428284,-0.012428284,-0.009043217,-0.012428284,-0.021455288,-0.023712158,-0.014121056,-0.018070221,-0.011300087,-0.0067868233,-0.0067868233,-0.006222725,-0.0050940514,-0.0067868233,-0.009607792,-0.010735989,-0.013556957,-0.009607792
4,5,-0.024276257,-0.012992859,-0.015249252,-0.014685154,-0.014121056,-0.018070221,-0.017506123,-0.022019386,-0.016942024,-0.02089119,-0.019198895,-0.019762993,-0.012992859,-0.014121056,-0.022019386,-0.024276257,-0.017506123,-0.009607792,-0.013556957,-0.016377926,-0.017506123,-0.021455288,-0.019198895,-0.023712158,-0.015813828,-0.012428284,-0.01017189,-0.016942024,-0.014121056,-0.015249252,-0.016942024,-0.017506123,-0.011864185,-0.010735989,-0.01863432,-0.01863432
5,6,-0.03935194,-0.037733078,-0.043128967,-0.025322437,-0.030179024,-0.025322437,-0.030718327,-0.029099464,-0.028560162,-0.025862217,-0.02640152,-0.023703575,-0.03287697,-0.03233719,-0.038272858,-0.03881216,-0.04960394,-0.065252304,-0.06579161,-0.06902933,-0.07388544,-0.07928133,-0.059856415,-0.052301884,-0.053381443,-0.058237553,-0.071727276,-0.07280636,-0.071187496,-0.08143997,-0.077662945,-0.06848955,-0.015813828,-0.010735989,-0.014685154,-0.015249252
6,7,-0.040637493,-0.055306435,-0.05643463,-0.05699873,-0.055306435,-0.04402256,-0.05643463,-0.07505274,-0.06658983,-0.07336044,-0.080694675,-0.08520794,-0.093670845,-0.103826046,-0.11172485,-0.108903885,-0.11003208,-0.08690071,-0.070539474,-0.07787371,-0.060383797,-0.036688328,-0.040637493,-0.0485363,-0.050792694,-0.040073395,-0.0485363,-0.06715441,-0.07279587,-0.0485363,-0.041766167,-0.032739162,-0.017506123,-0.016942024,-0.014121056,-0.021455288
7,8,-0.0074911118,-0.0050559044,-0.008952141,-0.00846529,-0.007004261,-0.007004261,-0.004081726,-0.0065169334,-0.011874676,-0.020154953,-0.0074911118,-0.004568577,-0.0006723404,-0.0035948753,-0.0074911118,-0.0065169334,-0.004081726,-0.0060300827,-0.00846529,-0.007978439,-0.008952141,-0.007978439,0.0022501945,-0.0016465187,-0.0050559044,-0.007004261,-0.011387825,-0.014309883,-0.009926319,-0.007004261,-0.005542755,-0.0074911118,-0.0060300827,-0.008952141,-0.012362003,-0.011387825
9,10,-0.012931824,-0.011703014,-0.012931824,-0.009860039,-0.009860039,-0.012931824,-0.006787777,-0.012931824,-0.009860039,-0.016618252,-0.013546467,-0.01907587,-0.022762299,-0.016618252,-0.016618252,-0.014160633,-0.009860039,-0.012931824,-0.013546467,-0.00740242,-0.008631229,-0.011703014,-0.009860039,-0.018461704,-0.015389442,-0.014775276,-0.017232895,-0.016004086,-0.012931824,-0.0055589676,-0.009245396,-0.0049448013,-0.009860039,-0.0123176575,-0.017232895,-0.008016586
10,11,-0.0091843605,-0.0091843605,-0.00800705,-0.0068302155,-0.0056529045,-0.0062417984,-0.008595943,-0.008595943,-0.009772778,-0.008595943,-0.0074186325,-0.0044760704,-0.0038876534,-0.010361671,-0.0068302155,-0.0068302155,-0.0074186325,-0.0032987595,-0.0044760704,-0.008595943,-0.010361671,-0.00800705,-0.009772778,-0.011538506,-0.008595943,-0.010361671,-0.011538506,-0.0074186325,-0.0044760704,0.0002322197,-0.009772778,-0.008595943,-0.008595943,-0.0044760704,-0.0056529045,-0.009772778
