,storm_index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1,0.078980446,0.06794453,0.080723286,0.09466314,0.08653164,0.08595085,0.10627985,0.109184265,0.10802269,0.10453749,0.14229202,0.1434536,0.12660933,0.11731577,0.12835169,0.12602854,0.101052284,0.055166245,0.0801425,0.051100254,0.059813023,0.056908607,0.070268154,0.04587269,0.054585457,0.057489872,0.06968737,0.08246565,0.08188486,0.07956171,0.085370064,0.08653164,0.052843094,0.04935789,0.055166245,0.07781887
1,2,0.037741184,0.04935789,0.037160397,0.0406456,0.037741184,0.04935789,0.040064335,0.04587269,0.041226387,0.051100254,0.054585457,0.06387901,0.056908607,0.05807066,0.06968737,0.05807066,0.06620216,0.08711243,0.0847888,0.091759205,0.09292078,0.088274,0.10163307,0.09524393,0.08711243,0.09292078,0.09059715,0.09292078,0.1074419,0.122543335,0.12196255,0.09698677,0.09698677,0.07201052,0.07839966,0.074334145
2,3,0.04624653,0.051324368,0.036655426,0.03270626,0.028756618,0.034962654,0.045118332,0.033834457,0.037219524,0.04116869,0.044711113,0.04587269,0.030771255,0.031352043,0.027286053,0.030190468,0.037160397,0.030771255,0.018573761,0.028447628,0.016830921,0.022639275,0.026124477,0.015088558,0.026124477,0.027286053,0.019735336,0.020316124,0.017992496,0.0214777,0.026124477,0.03193283,0.02960968,0.028447628,0.043549538,0.041807175
4,5,0.034962654,0.024807453,0.02255106,0.01295948,0.014088154,0.011831284,0.009574413,0.015780449,0.0135240555,0.015780449,0.01747322,0.019165516,0.014088154,0.012395382,0.011831284,0.014088154,0.014088154,0.014652252,0.01747322,0.010703087,0.011267185,0.021986485,0.015216351,0.016909122,0.027628422,0.012395382,0.010703087,0.01295948,0.015216351,0.015216351,0.016345024,0.012395382,0.021422386,0.021422386,0.019165516,0.015216351
5,6,0.019165516,0.016909122,0.015780449,0.010703087,0.0101389885,0.016909122,0.016345024,0.025371552,0.015216351,0.016345024,0.016909122,0.016909122,0.023115158,0.028756618,0.019730091,0.0135240555,0.016345024,0.019165516,0.01803732,0.009010315,0.02255106,0.011831284,0.007882118,0.011267185,0.01295948,0.01295948,0.015780449,0.010703087,0.007882118,0.009010315,0.0101389885,0.015780449,0.028756618,0.015780449,0.016909122,0.023115158
6,7,0.052452564,0.062607765,0.07727671,0.0891242,0.065428734,0.062043667,0.07163477,0.072762966,0.078969,0.06147957,0.056965828,0.05583763,0.064864635,0.069942,0.06091547,0.04060459,0.04342556,0.05583763,0.05358076,0.033834457,0.029885292,0.031577587,0.02255106,0.01747322,0.021422386,0.016345024,0.015216351,0.016909122,0.019165516,0.0135240555,0.011267185,0.01295948,0.012395382,0.016345024,0.011831284,0.011267185
7,8,0.05923605,0.03439617,0.030012608,0.039753914,0.04949522,0.052904606,0.06459379,0.090408325,0.08894682,0.098688126,0.084563255,0.07287407,0.059723377,0.06459379,0.059723377,0.08212805,0.08212805,0.07141304,0.10209751,0.055339813,0.048521042,0.055826664,0.07238674,0.060697556,0.052904606,0.038292408,0.051930428,0.06800318,0.06800318,0.061671734,0.041214943,0.032935143,0.039753914,0.03634453,0.034883022,0.045598507
10,11,0.03577566,0.030247211,0.024166107,0.031352997,0.018085003,0.019743443,0.024719238,0.029141903,0.025824547,0.016426563,0.020296574,0.024719238,0.020849228,0.019190788,0.017532349,0.026930332,0.017532349,0.017532349,0.016979694,0.013662338,0.009239674,0.013109684,0.015320778,0.017532349,0.020296574,0.013109684,0.021955013,0.017532349,0.016426563,0.012003899,0.01255703,0.016426563,0.015873909,0.014768124,0.01089859,0.015873909
11,12,0.047723293,0.044200897,0.036149025,0.026083946,0.02960682,0.02709055,0.018535137,0.014509201,0.02407074,0.01954174,0.02407074,0.020044804,0.016018867,0.01752901,0.020548344,0.02658701,0.019038677,0.02407074,0.025077343,0.021554947,0.012999535,0.012496471,0.02205801,0.023064613,0.014006138,0.01954174,0.02457428,0.023567677,0.018032074,0.0094771385,0.010483265,0.012496471,0.016522408,0.020044804,0.02457428,0.018535137
12,13,0.083453655,0.063323975,0.003941059,0.010986805,0.014006138,0.015012741,0.013503075,0.012999535,0.014509201,0.016018867,0.015515804,0.009980202,0.007463932,0.012999535,0.015515804,0.010483265,0.014509201,0.013503075,0.011489868,0.009980202,0.008470535,0.012496471,0.011489868,0.015012741,0.014509201,0.014006138,0.011489868,0.012496471,0.011992931,0.010483265,0.014509201,0.012999535,0.009980202,0.010483265,0.010483265,0.0089735985
15,16,0.049402237,0.029563904,0.03582859,0.029563904,0.025909424,0.03217411,0.033218384,0.03582859,0.044181347,0.038438797,0.040005207,0.0306077,0.02486515,0.02486515,0.02486515,0.027475357,0.032696247,0.03791666,0.03791666,0.048357964,0.040526867,0.033740044,0.0603652,0.050446033,0.04731369,0.042615414,0.027475357,0.029563904,0.035306454,0.038960934,0.036350727,0.040526867,0.06401968,0.06924057,0.047835827,0.044181347
18,19,0.03621626,0.028863907,0.036781788,0.025470734,0.018117905,0.021511555,0.020946026,0.024904728,0.024339199,0.023208141,0.02773285,0.024339199,0.021511555,0.022077084,0.026601791,0.026601791,0.01529026,0.010200024,0.01529026,0.013028145,0.013593674,0.02377367,0.020946026,0.016986847,0.012462139,0.014724731,0.013028145,0.014724731,0.014724731,0.014724731,0.014724731,0.01924944,0.020380497,0.020380497,0.01924944,0.019814968
20,21,0.054737568,0.04478407,0.04080248,0.038811684,0.060046673,0.068673134,0.07464552,0.062037468,0.054074287,0.063364506,0.07199097,0.056065083,0.060046673,0.046774864,0.020231247,0.034166813,0.034166813,0.042129517,0.034166813,0.04942894,0.037484646,0.042129517,0.056728363,0.06270075,0.05341053,0.04080248,0.048101902,0.050756454,0.06668234,0.059382915,0.06800938,0.052083492,0.064027786,0.072654724,0.07000017,0.056065083
25,26,0.06258631,0.054344654,0.027854443,0.026677132,0.031386375,0.029620647,0.030797958,0.040216923,0.04198265,0.041394234,0.041394234,0.031386375,0.03315258,0.04315996,0.053756237,0.033741474,0.026088715,0.023733616,0.022556305,0.027854443,0.026677132,0.023145199,0.027266026,0.022556305,0.017847061,0.019024372,0.019024372,0.030797958,0.026088715,0.02432251,0.023145199,0.013137817,0.013137817,0.022556305,0.027266026,0.02549982
26,27,0.011960506,0.017847061,0.0125489235,0.014903545,0.014315128,0.011371613,0.010194302,0.013726234,0.016081333,0.010194302,0.009016991,0.01666975,0.018435955,0.017847061,0.018435955,0.013726234,0.014903545,0.008428574,0.0107831955,0.010194302,0.011960506,0.011371613,0.0107831955,0.017847061,0.014903545,0.013137817,0.014315128,0.011371613,0.011960506,0.011960506,0.011960506,0.011960506,0.013137817,0.011960506,0.0125489235,0.014315128
28,29,0.04690385,0.053467274,0.030243397,0.042360067,0.036806583,0.026709318,0.021155834,0.025699615,0.04690385,0.054476976,0.05649638,0.044379473,0.038321257,0.033272505,0.034282207,0.057001352,0.041855335,0.04387474,0.058011055,0.054476976,0.07921529,0.05599141,0.0519526,0.05952549,0.081739664,0.094361305,0.06659365,0.08729315,0.08779812,0.08779812,0.09587598,0.0933516,0.08880782,0.08830285,0.06356454,0.059020758
30,31,0.028325558,0.017651558,0.014093399,0.023750782,0.014601707,0.012060165,0.016126633,0.013585091,0.014601707,0.01714325,0.016126633,0.019176006,0.019684315,0.015110016,0.017651558,0.012060165,0.016126633,0.02425909,0.018667698,0.021717548,0.023242474,0.022734165,0.019684315,0.014601707,0.014093399,0.012568474,0.016634941,0.014601707,0.028325558,0.029341698,0.028325558,0.021717548,0.019176006,0.018667698,0.02120924,0.024767399
31,32,0.014369965,0.013760567,0.010108948,0.022891045,0.018630028,0.018630028,0.009500504,0.016195297,0.014978409,0.016195297,0.011935234,0.010717392,0.01132679,0.010717392,0.018630028,0.014978409,0.01132679,0.0131521225,0.01132679,0.010108948,0.013760567,0.013760567,0.010717392,0.0058488846,0.006457329,0.0058488846,0.010717392,0.011935234,0.009500504,0.012543678,0.007065773,0.0046310425,0.006457329,0.0058488846,0.0046310425,0.007065773
32,33,0.015586853,0.01132679,0.0046310425,0.007065773,0.009500504,0.007674217,0.014978409,0.012543678,0.007674217,0.012543678,0.013760567,0.012543678,0.011935234,0.008282661,0.008282661,0.007674217,0.010108948,0.010717392,0.008282661,0.01132679,0.010108948,0.018021584,0.013760567,0.013760567,0.011935234,0.01741314,0.011935234,0.009500504,0.012543678,0.01132679,0.011935234,0.0131521225,0.014369965,0.012543678,0.010717392,0.013760567
33,34,0.012909412,0.014403582,0.014403582,0.015399694,0.014901638,0.016395807,0.014403582,0.011415243,0.013905525,0.01888585,0.011415243,0.016395807,0.015399694,0.013905525,0.014403582,0.013407469,0.01589775,0.01739192,0.019383907,0.01888585,0.019881964,0.022870302,0.02038002,0.020878077,0.02038002,0.021376133,0.019383907,0.022870302,0.020878077,0.019383907,0.033827066,0.027352571,0.033827066,0.024364471,0.025360346,0.038309574
37,38,0.043790817,0.049102783,0.037416458,0.051758766,0.043790817,0.04007244,0.0661006,0.02944851,0.026792526,0.031042099,0.03582287,0.083630085,0.0815053,0.080442905,0.08947325,0.0815053,0.077255726,0.08256769,0.080442905,0.053883553,0.058664322,0.046977997,0.02785492,0.045915604,0.04166603,0.045915604,0.058133125,0.045915604,0.056539536,0.04166603,0.027323723,0.04007244,0.040603638,0.042728424,0.02785492,0.024136543
38,39,0.02782631,0.036039352,0.016232014,0.02975893,0.027343273,0.024445057,0.032657623,0.04087019,0.035072803,0.034589767,0.02975893,0.026860237,0.026860237,0.019613743,0.018164635,0.020580292,0.028309822,0.02782631,0.044734955,0.022512436,0.033623695,0.043768883,0.03169155,0.026377201,0.027343273,0.024928093,0.0220294,0.012850285,0.012367249,0.017681599,0.0220294,0.017198563,0.015748978,0.028309822,0.019613743,0.017198563
42,43,0.050351143,0.052417755,0.045184612,0.042084217,0.045701027,0.043634415,0.04621792,0.03175068,0.03175068,0.03950119,0.0374341,0.050868034,0.053967953,0.05138445,0.05861807,0.06585121,0.07360172,0.087551594,0.10305214,0.083934784,0.075668335,0.08186817,0.07618475,0.080834866,0.09065151,0.087551594,0.088068485,0.091685295,0.10873556,0.06223488,0.042084217,0.04466772,0.03175068,0.030200958,0.021934032,0.019350529
43,44,0.01270175,0.010521889,0.010957718,0.013573647,0.015753508,0.019677162,0.0113937855,0.010085821,0.011829615,0.012265682,0.010521889,0.00790596,0.013137579,0.008777857,0.017933369,0.017061472,0.017061472,0.01270175,0.013137579,0.010521889,0.01270175,0.010521889,0.01270175,0.014445543,0.023164988,0.018369436,0.014445543,0.013137579,0.014445543,0.014009714,0.013137579,0.009649754,0.008342028,0.013137579,0.01270175,0.010957718
