lon_east,lon_west,lat_north,lat_south,step
"85.954796","77.954796","91.294022","83.294022","260"
"85.426498","77.426498","91.296928","83.296928","259"
"87.866839","79.866839","91.304375","83.304375","262"
"86.483093","78.483093","91.291115","83.291115","261"
"85.233742","77.233742","91.306696","83.306696","256"
"85.401512","77.401512","91.310127","83.310127","255"
"84.898201","76.898201","91.299835","83.299835","258"
"85.065971","77.065971","91.303266","83.303266","257"
"90.634331","82.634331","91.330894","83.330894","264"
"89.250585","81.250585","91.317634","83.317634","263"
"71.014168","63.014168","79.683388","71.683388","180"
"71.018972","63.018972","79.461324","71.461324","179"
"70.696531","62.696531","80.185916","72.185916","182"
"70.855349","62.855349","79.934652","71.934652","181"
"70.916967","62.916967","78.731479","70.731479","176"
"70.805354","62.805354","78.44576","70.44576","175"
"71.023776","63.023776","79.239261","71.239261","178"
"71.02858","63.02858","79.017197","71.017197","177"
"68.720103","60.720103","81.778994","73.778994","188"
"69.444196","61.444196","81.489095","73.489095","187"
"67.8655","59.8655","82.25181","74.25181","190"
"67.99601","59.99601","82.068893","74.068893","189"
"70.414571","62.414571","80.691185","72.691185","184"
"70.537712","62.537712","80.43718","72.43718","183"
"70.168289","62.168289","81.199196","73.199196","186"
"70.29143","62.29143","80.945191","72.945191","185"
"68.102077","60.102077","76.160484","68.160484","164"
"67.97685","59.97685","75.865685","67.865685","163"
"68.805352","60.805352","76.622637","68.622637","166"
"68.227303","60.227303","76.455284","68.455284","165"
"67.096893","59.096893","75.133548","67.133548","160"
"66.719528","58.719528","74.914879","66.914879","159"
"67.851624","59.851624","75.570885","67.570885","162"
"67.474259","59.474259","75.352216","67.352216","161"
"70.812632","62.812632","77.692202","69.692202","172"
"70.872078","62.872078","77.458282","69.458282","171"
"70.693741","62.693741","78.160042","70.160042","174"
"70.753187","62.753187","77.926122","69.926122","173"
"69.961449","61.961449","76.957344","68.957344","168"
"69.3834","61.3834","76.789991","68.789991","167"
"70.568535","62.568535","77.291303","69.291303","170"
"70.264992","62.264992","77.124323","69.124323","169"
"61.573368","53.573368","72.66322","64.66322","148"
"61.079945","53.079945","72.486938","64.486938","147"
"62.560215","54.560215","73.015785","65.015785","150"
"62.066792","54.066792","72.839503","64.839503","149"
"59.787682","51.787682","72.064949","64.064949","144"
"59.123284","51.123284","71.856621","63.856621","143"
"60.649191","52.649191","72.346275","64.346275","146"
"60.218436","52.218436","72.205612","64.205612","145"
"65.69902","57.69902","74.137955","66.137955","156"
"65.087082","57.087082","74.02267","66.02267","155"
"66.379359","58.379359","74.655904","66.655904","158"
"66.039189","58.039189","74.39693","66.39693","157"
"63.428875","55.428875","73.533328","65.533328","152"
"62.994545","54.994545","73.274556","65.274556","151"
"64.475143","56.475143","73.907384","65.907384","154"
"63.863205","55.863205","73.792099","65.792099","153"
"53.178547","45.178547","69.939766","61.939766","132"
"52.542535","44.542535","69.602509","61.602509","131"
"54.424821","46.424821","70.189125","62.189125","134"
"53.801684","45.801684","70.064446","62.064446","133"
"50.632787","42.632787","68.540882","60.540882","128"
"49.995063","41.995063","68.153771","60.153771","127"
"51.906524","43.906524","69.265251","61.265251","130"
"51.270512","43.270512","68.927994","60.927994","129"
"57.211355","49.211355","71.221519","63.221519","140"
"56.628222","48.628222","71.003075","63.003075","139"
"58.458885","50.458885","71.648292","63.648292","142"
"57.794487","49.794487","71.439964","63.439964","141"
"55.380335","47.380335","70.470747","62.470747","136"
"55.047958","47.047958","70.313805","62.313805","135"
"56.04509","48.04509","70.78463","62.78463","138"
"55.712713","47.712713","70.627688","62.627688","137"
"88.271431","80.271431","91.213643","83.213643","244"
"87.274162","79.274162","91.193245","83.193245","243"
"90.265968","82.265968","91.25444","83.25444","246"
"89.268699","81.268699","91.234042","83.234042","245"
"83.779778","75.779778","91.106834","83.106834","240"
"83.103529","75.103529","91.045723","83.045723","239"
"86.109367","78.109367","91.164441","83.164441","242"
"84.944573","76.944573","91.135638","83.135638","241"
"85.486771","77.486771","91.283745","83.283745","252"
"86.966561","78.966561","91.288829","83.288829","251"
"85.429932","77.429932","91.301333","83.301333","254"
"85.458351","77.458351","91.292539","83.292539","253"
"90.039416","82.039416","91.284144","83.284144","248"
"90.152692","82.152692","91.269292","83.269292","247"
"88.44635","80.44635","91.293912","83.293912","250"
"89.92614","81.92614","91.298996","83.298996","249"
"69.789925","61.789925","89.047127","81.047127","228"
"68.859757","60.859757","89.013181","81.013181","227"
"74.669884","66.669884","89.084434","81.084434","230"
"72.229904","64.229904","89.065781","81.065781","229"
"67.490328","59.490328","88.88398","80.88398","224"
"67.981237","59.981237","88.82267","80.82267","223"
"67.929588","59.929588","88.979236","80.979236","226"
"66.99942","58.99942","88.94529","80.94529","225"
"81.255885","73.255885","90.848465","82.848465","236"
"80.760739","72.760739","90.77343","82.77343","235"
"82.427279","74.427279","90.984611","82.984611","238"
"81.75103","73.75103","90.9235","82.9235","237"
"78.161773","70.161773","89.634857","81.634857","232"
"77.109863","69.109863","89.103088","81.103088","231"
"80.265594","72.265594","90.698395","82.698395","234"
"79.213684","71.213684","90.166626","82.166626","233"
"68.96521","60.96521","87.34968","79.34968","212"
